"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2023","6","13","00:00","529.4"
"Jokioinen Ilmala","2023","6","14","00:00","401.9"
"Jokioinen Ilmala","2023","6","15","00:00","425.4"
"Jokioinen Ilmala","2023","6","16","00:00","314.7"
"Jokioinen Ilmala","2023","6","17","00:00","175.6"
"Jokioinen Ilmala","2023","6","18","00:00","392.2"
"Jokioinen Ilmala","2023","6","19","00:00","541.1"
"Jokioinen Ilmala","2023","6","20","00:00","416.4"
"Jokioinen Ilmala","2023","6","21","00:00","374.6"
"Jokioinen Ilmala","2023","6","22","00:00","36.5"
"Jokioinen Ilmala","2023","6","23","00:00","476.2"
"Jokioinen Ilmala","2023","6","24","00:00","170.3"
"Jokioinen Ilmala","2023","6","25","00:00","269.3"
"Jokioinen Ilmala","2023","6","26","00:00","339.5"
"Jokioinen Ilmala","2023","6","27","00:00","233.3"
"Jokioinen Ilmala","2023","6","28","00:00","281.3"
"Jokioinen Ilmala","2023","6","29","00:00","322"
"Jokioinen Ilmala","2023","6","30","00:00","324.4"
"Jokioinen Ilmala","2023","7","1","00:00","10.7"
"Jokioinen Ilmala","2023","7","2","00:00","74.7"
"Jokioinen Ilmala","2023","7","3","00:00","18.1"
"Jokioinen Ilmala","2023","7","4","00:00","126.1"
"Jokioinen Ilmala","2023","7","5","00:00","97.5"
"Jokioinen Ilmala","2023","7","6","00:00","22"
"Jokioinen Ilmala","2023","7","7","00:00","159.2"
"Jokioinen Ilmala","2023","7","8","00:00","120"
"Jokioinen Ilmala","2023","7","9","00:00","202.7"
"Jokioinen Ilmala","2023","7","10","00:00","207"
"Jokioinen Ilmala","2023","7","11","00:00","360.5"
"Jokioinen Ilmala","2023","7","12","00:00","508"
"Jokioinen Ilmala","2023","7","13","00:00","262.6"
"Jokioinen Ilmala","2023","7","14","00:00","184.6"
"Jokioinen Ilmala","2023","7","15","00:00","305.9"
"Jokioinen Ilmala","2023","7","16","00:00","211"
"Jokioinen Ilmala","2023","7","17","00:00","166.7"
"Jokioinen Ilmala","2023","7","18","00:00","189.6"
"Jokioinen Ilmala","2023","7","19","00:00","127.7"
"Jokioinen Ilmala","2023","7","20","00:00","306.2"
"Jokioinen Ilmala","2023","7","21","00:00","264.7"
"Jokioinen Ilmala","2023","7","22","00:00","273.4"
"Jokioinen Ilmala","2023","7","23","00:00","216.9"
"Jokioinen Ilmala","2023","7","24","00:00","332.9"
"Jokioinen Ilmala","2023","7","25","00:00","249.2"
"Jokioinen Ilmala","2023","7","26","00:00","233.4"
"Jokioinen Ilmala","2023","7","27","00:00","121.7"
"Jokioinen Ilmala","2023","7","28","00:00","15.2"
"Jokioinen Ilmala","2023","7","29","00:00","0"
"Jokioinen Ilmala","2023","7","30","00:00","263.1"
"Jokioinen Ilmala","2023","7","31","00:00","21.1"
"Jokioinen Ilmala","2023","8","1","00:00","1.7"
"Jokioinen Ilmala","2023","8","2","00:00","45.7"
"Jokioinen Ilmala","2023","8","3","00:00","29.8"
"Jokioinen Ilmala","2023","8","4","00:00","18.2"
"Jokioinen Ilmala","2023","8","5","00:00","154.8"
"Jokioinen Ilmala","2023","8","6","00:00","65.2"
"Jokioinen Ilmala","2023","8","7","00:00","340.6"
"Jokioinen Ilmala","2023","8","8","00:00","81.8"
"Jokioinen Ilmala","2023","8","9","00:00","301.6"
"Jokioinen Ilmala","2023","8","10","00:00","158"
"Jokioinen Ilmala","2023","8","11","00:00","114.9"
"Jokioinen Ilmala","2023","8","12","00:00","242"
"Jokioinen Ilmala","2023","8","13","00:00","138"
"Jokioinen Ilmala","2023","8","14","00:00","329.7"
"Jokioinen Ilmala","2023","8","15","00:00","324.6"
"Jokioinen Ilmala","2023","8","16","00:00","99.1"
"Jokioinen Ilmala","2023","8","17","00:00","168"
"Jokioinen Ilmala","2023","8","18","00:00","141.7"
"Jokioinen Ilmala","2023","8","19","00:00","24.1"
"Jokioinen Ilmala","2023","8","20","00:00","419.7"
"Jokioinen Ilmala","2023","8","21","00:00","6"
"Jokioinen Ilmala","2023","8","22","00:00","100.3"
"Jokioinen Ilmala","2023","8","23","00:00","93.3"
"Jokioinen Ilmala","2023","8","24","00:00","47"
"Jokioinen Ilmala","2023","8","25","00:00","79.1"
"Jokioinen Ilmala","2023","8","26","00:00","134.6"
"Jokioinen Ilmala","2023","8","27","00:00","13"
"Jokioinen Ilmala","2023","8","28","00:00","-0.2"
"Jokioinen Ilmala","2023","8","29","00:00","218.1"
"Jokioinen Ilmala","2023","8","30","00:00","0.2"
"Jokioinen Ilmala","2023","8","31","00:00","0"
"Jokioinen Ilmala","2023","9","1","00:00","87.9"
"Jokioinen Ilmala","2023","9","2","00:00","69.3"
"Jokioinen Ilmala","2023","9","3","00:00","77.9"
"Jokioinen Ilmala","2023","9","4","00:00","75.4"
"Jokioinen Ilmala","2023","9","5","00:00","50.3"
"Jokioinen Ilmala","2023","9","6","00:00","290.5"
"Jokioinen Ilmala","2023","9","7","00:00","220.4"
"Jokioinen Ilmala","2023","9","8","00:00","206.3"
"Jokioinen Ilmala","2023","9","9","00:00","195.5"
"Jokioinen Ilmala","2023","9","10","00:00","60.5"
"Jokioinen Ilmala","2023","9","11","00:00","0.7"
"Jokioinen Ilmala","2023","9","12","00:00","34.9"
"Jokioinen Ilmala","2023","9","13","00:00","2.4"
"Jokioinen Ilmala","2023","9","14","00:00","267"
"Jokioinen Ilmala","2023","9","15","00:00","198.8"
"Jokioinen Ilmala","2023","9","16","00:00","138.1"
"Jokioinen Ilmala","2023","9","17","00:00","126"
"Jokioinen Ilmala","2023","9","18","00:00","319.3"
"Jokioinen Ilmala","2023","9","19","00:00","2.4"
"Jokioinen Ilmala","2023","9","20","00:00","64"
"Jokioinen Ilmala","2023","9","21","00:00","51.1"
"Jokioinen Ilmala","2023","9","22","00:00","223.2"
"Jokioinen Ilmala","2023","9","23","00:00","0.9"
"Jokioinen Ilmala","2023","9","24","00:00","98.5"
"Jokioinen Ilmala","2023","9","25","00:00","36.2"
"Jokioinen Ilmala","2023","9","26","00:00","5.4"
"Jokioinen Ilmala","2023","9","27","00:00","13.8"
"Jokioinen Ilmala","2023","9","28","00:00","197.7"
"Jokioinen Ilmala","2023","9","29","00:00","0.5"
"Jokioinen Ilmala","2023","9","30","00:00","9.9"
"Jokioinen Ilmala","2023","10","1","00:00","12.2"
"Jokioinen Ilmala","2023","10","2","00:00","138"
"Jokioinen Ilmala","2023","10","3","00:00","1"
"Jokioinen Ilmala","2023","10","4","00:00","78.8"
"Jokioinen Ilmala","2023","10","5","00:00","54"
"Jokioinen Ilmala","2023","10","6","00:00","120.9"
"Jokioinen Ilmala","2023","10","7","00:00","1"
"Jokioinen Ilmala","2023","10","8","00:00","13.1"
"Jokioinen Ilmala","2023","10","9","00:00","89.5"
"Jokioinen Ilmala","2023","10","10","00:00","22.2"
"Jokioinen Ilmala","2023","10","11","00:00","-0.3"
"Jokioinen Ilmala","2023","10","12","00:00","43.2"
"Jokioinen Ilmala","2023","10","13","00:00","127.2"
"Jokioinen Ilmala","2023","10","14","00:00","51.1"
"Jokioinen Ilmala","2023","10","15","00:00","52.7"
"Jokioinen Ilmala","2023","10","16","00:00","134.4"
"Jokioinen Ilmala","2023","10","17","00:00","35.9"
"Jokioinen Ilmala","2023","10","18","00:00","18.6"
"Jokioinen Ilmala","2023","10","19","00:00","3.2"
"Jokioinen Ilmala","2023","10","20","00:00","229.6"
"Jokioinen Ilmala","2023","10","21","00:00","130.2"
"Jokioinen Ilmala","2023","10","22","00:00","0.8"
"Jokioinen Ilmala","2023","10","23","00:00","1.6"
"Jokioinen Ilmala","2023","10","24","00:00","0.9"
"Jokioinen Ilmala","2023","10","25","00:00","1.8"
"Jokioinen Ilmala","2023","10","26","00:00","129"
"Jokioinen Ilmala","2023","10","27","00:00","0.6"
"Jokioinen Ilmala","2023","10","28","00:00","1.2"
"Jokioinen Ilmala","2023","10","29","00:00","216.4"
"Jokioinen Ilmala","2023","10","30","00:00","1.4"
"Jokioinen Ilmala","2023","10","31","00:00","0.2"
"Jokioinen Ilmala","2023","11","1","00:00","0.9"
"Jokioinen Ilmala","2023","11","2","00:00","22.6"
"Jokioinen Ilmala","2023","11","3","00:00","0.7"
"Jokioinen Ilmala","2023","11","4","00:00","-0.1"
"Jokioinen Ilmala","2023","11","5","00:00","3.5"
"Jokioinen Ilmala","2023","11","6","00:00","1"
"Jokioinen Ilmala","2023","11","7","00:00","0.8"
"Jokioinen Ilmala","2023","11","8","00:00","1.3"
"Jokioinen Ilmala","2023","11","9","00:00","1.2"
"Jokioinen Ilmala","2023","11","10","00:00","0.3"
"Jokioinen Ilmala","2023","11","11","00:00","0"
"Jokioinen Ilmala","2023","11","12","00:00","-0.2"
"Jokioinen Ilmala","2023","11","13","00:00","0.7"
"Jokioinen Ilmala","2023","11","14","00:00","1.3"
"Jokioinen Ilmala","2023","11","15","00:00","1.1"
"Jokioinen Ilmala","2023","11","16","00:00","1.9"
"Jokioinen Ilmala","2023","11","17","00:00","1.7"
"Jokioinen Ilmala","2023","11","18","00:00","1.6"
"Jokioinen Ilmala","2023","11","19","00:00","3"
"Jokioinen Ilmala","2023","11","20","00:00","1.2"
"Jokioinen Ilmala","2023","11","21","00:00","5.5"
"Jokioinen Ilmala","2023","11","22","00:00","6.9"
"Jokioinen Ilmala","2023","11","23","00:00","1.4"
"Jokioinen Ilmala","2023","11","24","00:00","0.2"
"Jokioinen Ilmala","2023","11","25","00:00","43.4"
"Jokioinen Ilmala","2023","11","26","00:00","51.5"
"Jokioinen Ilmala","2023","11","27","00:00","84.6"
"Jokioinen Ilmala","2023","11","28","00:00","1"
"Jokioinen Ilmala","2023","11","29","00:00","0.9"
"Jokioinen Ilmala","2023","11","30","00:00","0.5"
"Jokioinen Ilmala","2023","12","1","00:00","0.8"
"Jokioinen Ilmala","2023","12","2","00:00","2"
"Jokioinen Ilmala","2023","12","3","00:00","4.4"
