"Observation station","Year","Month","Day","Time [Local time]","UV index mean"
"Helsinki Kumpula","2023","6","17","00:00","1.5"
"Helsinki Kumpula","2023","6","18","00:00","1.7"
"Helsinki Kumpula","2023","6","19","00:00","1.8"
"Helsinki Kumpula","2023","6","20","00:00","1.8"
"Helsinki Kumpula","2023","6","21","00:00","1.7"
"Helsinki Kumpula","2023","6","22","00:00","0.6"
"Helsinki Kumpula","2023","6","23","00:00","1.6"
"Helsinki Kumpula","2023","6","24","00:00","1.3"
"Helsinki Kumpula","2023","6","25","00:00","1"
"Helsinki Kumpula","2023","6","26","00:00","1.7"
"Helsinki Kumpula","2023","6","27","00:00","1.7"
"Helsinki Kumpula","2023","6","28","00:00","1.6"
"Helsinki Kumpula","2023","6","29","00:00","1.4"
"Helsinki Kumpula","2023","6","30","00:00","1.6"
"Helsinki Kumpula","2023","7","1","00:00","0.6"
"Helsinki Kumpula","2023","7","2","00:00","1"
"Helsinki Kumpula","2023","7","3","00:00","1.1"
"Helsinki Kumpula","2023","7","4","00:00","1.3"
"Helsinki Kumpula","2023","7","5","00:00","1.4"
"Helsinki Kumpula","2023","7","6","00:00","0.7"
"Helsinki Kumpula","2023","7","7","00:00","1.5"
"Helsinki Kumpula","2023","7","8","00:00","0.9"
"Helsinki Kumpula","2023","7","9","00:00","0.8"
"Helsinki Kumpula","2023","7","10","00:00","1.3"
"Helsinki Kumpula","2023","7","11","00:00","1.6"
"Helsinki Kumpula","2023","7","12","00:00","1.6"
"Helsinki Kumpula","2023","7","13","00:00","1.4"
"Helsinki Kumpula","2023","7","14","00:00","1.5"
"Helsinki Kumpula","2023","7","15","00:00","1.5"
"Helsinki Kumpula","2023","7","16","00:00","1.6"
"Helsinki Kumpula","2023","7","17","00:00","1.5"
"Helsinki Kumpula","2023","7","18","00:00","1.4"
"Helsinki Kumpula","2023","7","19","00:00","1.1"
"Helsinki Kumpula","2023","7","20","00:00","1.4"
"Helsinki Kumpula","2023","7","21","00:00","1.2"
"Helsinki Kumpula","2023","7","22","00:00","1.2"
"Helsinki Kumpula","2023","7","23","00:00","1.4"
