"Observation station","Year","Month","Day","Time [Local time]","UV index mean"
"Helsinki Kumpula","2010","3","10","00:00","0.2"
"Helsinki Kumpula","2010","3","11","00:00","0.2"
"Helsinki Kumpula","2010","3","12","00:00","0.2"
"Helsinki Kumpula","2010","3","13","00:00","0.2"
"Helsinki Kumpula","2010","3","14","00:00","0.2"
"Helsinki Kumpula","2010","3","15","00:00","0.3"
"Helsinki Kumpula","2010","3","16","00:00","0.3"
"Helsinki Kumpula","2010","3","17","00:00","0.3"
"Helsinki Kumpula","2010","3","18","00:00","0.3"
"Helsinki Kumpula","2010","3","19","00:00","0.2"
"Helsinki Kumpula","2010","3","20","00:00","0.2"
"Helsinki Kumpula","2010","3","21","00:00","0.2"
"Helsinki Kumpula","2010","3","22","00:00","0.5"
"Helsinki Kumpula","2010","3","23","00:00","0.5"
"Helsinki Kumpula","2010","3","24","00:00","0.5"
"Helsinki Kumpula","2010","3","25","00:00","0.5"
"Helsinki Kumpula","2010","3","26","00:00","0.4"
"Helsinki Kumpula","2010","3","27","00:00","0.2"
"Helsinki Kumpula","2010","3","28","00:00","0.2"
"Helsinki Kumpula","2010","3","29","00:00","0.1"
"Helsinki Kumpula","2010","3","30","00:00","0.4"
"Helsinki Kumpula","2010","3","31","00:00","0.1"
"Helsinki Kumpula","2010","4","1","00:00","0.5"
"Helsinki Kumpula","2010","4","2","00:00","0.3"
"Helsinki Kumpula","2010","4","3","00:00","0.2"
"Helsinki Kumpula","2010","4","4","00:00","0.2"
"Helsinki Kumpula","2010","4","5","00:00","0.3"
"Helsinki Kumpula","2010","4","6","00:00","0.2"
"Helsinki Kumpula","2010","4","7","00:00","0.4"
"Helsinki Kumpula","2010","4","8","00:00","0.3"
"Helsinki Kumpula","2010","4","9","00:00","0.3"
"Helsinki Kumpula","2010","4","10","00:00","0.6"
"Helsinki Kumpula","2010","4","11","00:00","0.4"
"Helsinki Kumpula","2010","4","12","00:00","0.6"
"Helsinki Kumpula","2010","4","13","00:00","0.5"
"Helsinki Kumpula","2010","4","14","00:00","0.7"
"Helsinki Kumpula","2010","4","15","00:00","0.6"
"Helsinki Kumpula","2010","4","16","00:00","0.2"
"Helsinki Kumpula","2010","4","17","00:00","0.6"
"Helsinki Kumpula","2010","4","18","00:00","0.6"
"Helsinki Kumpula","2010","4","19","00:00","0.6"
"Helsinki Kumpula","2010","4","20","00:00","0.7"
"Helsinki Kumpula","2010","4","21","00:00","0.6"
"Helsinki Kumpula","2010","4","22","00:00","0.3"
"Helsinki Kumpula","2010","4","23","00:00","0.4"
"Helsinki Kumpula","2010","4","24","00:00","0.5"
"Helsinki Kumpula","2010","4","25","00:00","0.6"
"Helsinki Kumpula","2010","4","26","00:00","0.9"
"Helsinki Kumpula","2010","4","27","00:00","0.6"
"Helsinki Kumpula","2010","4","28","00:00","0.9"
"Helsinki Kumpula","2010","4","29","00:00","0.2"
"Helsinki Kumpula","2010","4","30","00:00","0.8"
