"Observation station","Year","Month","Day","Time [Local time]","UV index mean"
"Sotkamo Kuolaniemi","2008","3","11","00:00","0.1"
"Sotkamo Kuolaniemi","2008","3","12","00:00","0.1"
"Sotkamo Kuolaniemi","2008","3","13","00:00","0.1"
"Sotkamo Kuolaniemi","2008","3","14","00:00","0.2"
"Sotkamo Kuolaniemi","2008","3","15","00:00","0.2"
"Sotkamo Kuolaniemi","2008","3","16","00:00","0.2"
"Sotkamo Kuolaniemi","2008","3","17","00:00","0.1"
"Sotkamo Kuolaniemi","2008","3","18","00:00","0.2"
"Sotkamo Kuolaniemi","2008","3","19","00:00","0.3"
"Sotkamo Kuolaniemi","2008","3","20","00:00","0.3"
"Sotkamo Kuolaniemi","2008","3","21","00:00","0.3"
"Sotkamo Kuolaniemi","2008","3","22","00:00","0.3"
"Sotkamo Kuolaniemi","2008","3","23","00:00","0.2"
"Sotkamo Kuolaniemi","2008","3","24","00:00","0.2"
"Sotkamo Kuolaniemi","2008","3","25","00:00","0.3"
"Sotkamo Kuolaniemi","2008","3","26","00:00","0.1"
"Sotkamo Kuolaniemi","2008","3","27","00:00","0.2"
"Sotkamo Kuolaniemi","2008","3","28","00:00","0.4"
"Sotkamo Kuolaniemi","2008","3","29","00:00","0.4"
"Sotkamo Kuolaniemi","2008","3","30","00:00","0.2"
"Sotkamo Kuolaniemi","2008","3","31","00:00","0.4"
"Sotkamo Kuolaniemi","2008","4","1","00:00","0.2"
"Sotkamo Kuolaniemi","2008","4","2","00:00","0.4"
"Sotkamo Kuolaniemi","2008","4","3","00:00","0.4"
"Sotkamo Kuolaniemi","2008","4","4","00:00","0.4"
"Sotkamo Kuolaniemi","2008","4","5","00:00","0.3"
"Sotkamo Kuolaniemi","2008","4","6","00:00","0.5"
"Sotkamo Kuolaniemi","2008","4","7","00:00","0.2"
"Sotkamo Kuolaniemi","2008","4","8","00:00","0.2"
"Sotkamo Kuolaniemi","2008","4","9","00:00","0.3"
"Sotkamo Kuolaniemi","2008","4","10","00:00","0.4"
"Sotkamo Kuolaniemi","2008","4","11","00:00","0.5"
"Sotkamo Kuolaniemi","2008","4","12","00:00","0.5"
"Sotkamo Kuolaniemi","2008","4","13","00:00","0.4"
"Sotkamo Kuolaniemi","2008","4","14","00:00","0.3"
"Sotkamo Kuolaniemi","2008","4","15","00:00","0.6"
"Sotkamo Kuolaniemi","2008","4","16","00:00","0.4"
"Sotkamo Kuolaniemi","2008","4","17","00:00","0.7"
"Sotkamo Kuolaniemi","2008","4","18","00:00","0.8"
"Sotkamo Kuolaniemi","2008","4","19","00:00","0.7"
"Sotkamo Kuolaniemi","2008","4","20","00:00","0.6"
"Sotkamo Kuolaniemi","2008","4","21","00:00","0.6"
"Sotkamo Kuolaniemi","2008","4","22","00:00","0.8"
"Sotkamo Kuolaniemi","2008","4","23","00:00","0.7"
"Sotkamo Kuolaniemi","2008","4","24","00:00","0.8"
"Sotkamo Kuolaniemi","2008","4","25","00:00","0.8"
"Sotkamo Kuolaniemi","2008","4","26","00:00","0.9"
"Sotkamo Kuolaniemi","2008","4","27","00:00","0.8"
"Sotkamo Kuolaniemi","2008","4","28","00:00","0.4"
"Sotkamo Kuolaniemi","2008","4","29","00:00","0.9"
"Sotkamo Kuolaniemi","2008","4","30","00:00","1"
"Sotkamo Kuolaniemi","2008","5","1","00:00","1"
"Sotkamo Kuolaniemi","2008","5","2","00:00","0.9"
"Sotkamo Kuolaniemi","2008","5","3","00:00","1"
"Sotkamo Kuolaniemi","2008","5","4","00:00","0.9"
"Sotkamo Kuolaniemi","2008","5","5","00:00","0.4"
"Sotkamo Kuolaniemi","2008","5","6","00:00","0.9"
"Sotkamo Kuolaniemi","2008","5","7","00:00","0.4"
"Sotkamo Kuolaniemi","2008","5","8","00:00","0.5"
"Sotkamo Kuolaniemi","2008","5","9","00:00","0.6"
"Sotkamo Kuolaniemi","2008","5","10","00:00","0.9"
"Sotkamo Kuolaniemi","2008","5","11","00:00","0.4"
"Sotkamo Kuolaniemi","2008","5","12","00:00","0.5"
"Sotkamo Kuolaniemi","2008","5","13","00:00","0.9"
"Sotkamo Kuolaniemi","2008","5","14","00:00","0.7"
"Sotkamo Kuolaniemi","2008","5","15","00:00","0.7"
"Sotkamo Kuolaniemi","2008","5","16","00:00","0.6"
"Sotkamo Kuolaniemi","2008","5","17","00:00","0.8"
"Sotkamo Kuolaniemi","2008","5","18","00:00","0.5"
