"Observation station","Year","Month","Day","Time [Local time]","Snow depth [cm]","Average temperature [°C]"
"Kuopio keskusta","2003","6","14","03:00","-","10.3"
"Kuopio keskusta","2003","6","15","03:00","-","10.1"
"Kuopio keskusta","2003","6","16","03:00","-","10.5"
"Kuopio keskusta","2003","6","17","03:00","-","10.5"
"Kuopio keskusta","2003","6","18","03:00","-","12.1"
"Kuopio keskusta","2003","6","19","03:00","-","13.8"
"Kuopio keskusta","2003","6","20","03:00","-","14.3"
"Kuopio keskusta","2003","6","21","03:00","-","13.8"
"Kuopio keskusta","2003","6","22","03:00","-","13.1"
"Kuopio keskusta","2003","6","23","03:00","-","16"
"Kuopio keskusta","2003","6","24","03:00","-","17.4"
"Kuopio keskusta","2003","6","25","03:00","-","18"
"Kuopio keskusta","2003","6","26","03:00","-","17.6"
"Kuopio keskusta","2003","6","27","03:00","-","15.4"
"Kuopio keskusta","2003","6","28","03:00","-","10.6"
"Kuopio keskusta","2003","6","29","03:00","-","11"
"Kuopio keskusta","2003","6","30","03:00","-","16"
"Kuopio keskusta","2003","7","1","03:00","-","17.4"
"Kuopio keskusta","2003","7","2","03:00","-","20.8"
"Kuopio keskusta","2003","7","3","03:00","-","20.5"
"Kuopio keskusta","2003","7","4","03:00","-","19.2"
"Kuopio keskusta","2003","7","5","03:00","-","18.5"
"Kuopio keskusta","2003","7","6","03:00","-","19.5"
"Kuopio keskusta","2003","7","7","03:00","-","16.6"
"Kuopio keskusta","2003","7","8","03:00","-","15"
"Kuopio keskusta","2003","7","9","03:00","-","11.9"
"Kuopio keskusta","2003","7","10","03:00","-","13.4"
"Kuopio keskusta","2003","7","11","03:00","-","17.8"
"Kuopio keskusta","2003","7","14","03:00","-","25.3"
"Kuopio keskusta","2003","7","15","03:00","-","23.7"
"Kuopio keskusta","2003","7","16","03:00","-","23.9"
"Kuopio keskusta","2003","7","17","03:00","-","24.6"
"Kuopio keskusta","2003","7","18","03:00","-","23.8"
"Kuopio keskusta","2003","7","19","03:00","-","19.5"
"Kuopio keskusta","2003","7","20","03:00","-","21.5"
"Kuopio keskusta","2003","7","21","03:00","-","21.9"
"Kuopio keskusta","2003","7","22","03:00","-","22.4"
"Kuopio keskusta","2003","7","23","03:00","-","22"
"Kuopio keskusta","2003","7","24","03:00","-","21"
"Kuopio keskusta","2003","7","25","03:00","-","21"
"Kuopio keskusta","2003","7","26","03:00","-","20.9"
"Kuopio keskusta","2003","7","27","03:00","-","20.5"
"Kuopio keskusta","2003","7","28","03:00","-","22.3"
"Kuopio keskusta","2003","7","29","03:00","-","23.4"
"Kuopio keskusta","2003","7","30","03:00","-","24.2"
"Kuopio keskusta","2003","7","31","03:00","-","25.5"
"Kuopio keskusta","2003","8","1","03:00","-","25.3"
"Kuopio keskusta","2003","8","2","03:00","-","23.4"
"Kuopio keskusta","2003","8","3","03:00","-","22.4"
"Kuopio keskusta","2003","8","4","03:00","-","20.7"
"Kuopio keskusta","2003","8","5","03:00","-","18.6"
"Kuopio keskusta","2003","8","6","03:00","-","16.7"
"Kuopio keskusta","2003","8","7","03:00","-","15.5"
"Kuopio keskusta","2003","8","8","03:00","-","15.4"
"Kuopio keskusta","2003","8","9","03:00","-","13.5"
"Kuopio keskusta","2003","8","10","03:00","-","13.1"
